timestamp,worker_id,helmet,vest
0.0,1,False,True
0.0,2,False,True
0.03336666666666667,1,False,True
0.03336666666666667,2,False,False
0.06673333333333334,1,False,True
0.06673333333333334,2,False,False
0.06673333333333334,3,True,False
0.10010000000000001,1,False,True
0.10010000000000001,2,False,False
0.10010000000000001,3,True,False
0.13346666666666668,1,False,True
0.13346666666666668,2,False,False
0.13346666666666668,3,True,False
0.16683333333333333,1,False,True
0.16683333333333333,2,False,False
0.16683333333333333,3,True,False
0.20020000000000002,1,False,True
0.20020000000000002,2,False,False
0.20020000000000002,3,True,False
0.23356666666666667,1,False,True
0.23356666666666667,2,False,False
0.23356666666666667,3,True,False
0.26693333333333336,1,True,True
0.26693333333333336,2,False,False
0.26693333333333336,3,True,False
0.3003,1,True,True
0.3003,2,False,False
0.3003,3,True,False
0.33366666666666667,1,True,True
0.33366666666666667,2,False,False
0.33366666666666667,3,True,False
0.3670333333333334,1,True,True
0.3670333333333334,2,False,False
0.3670333333333334,3,True,False
0.40040000000000003,1,True,True
0.40040000000000003,2,False,False
0.40040000000000003,3,True,False
0.4337666666666667,2,False,False
0.4337666666666667,3,True,False
0.46713333333333334,2,False,False
0.46713333333333334,3,True,False
0.5005000000000001,2,False,False
0.5005000000000001,3,True,False
0.5005000000000001,1,True,True
0.5338666666666667,2,False,False
0.5338666666666667,3,True,False
0.5338666666666667,1,False,True
0.5672333333333334,3,True,False
0.5672333333333334,1,True,True
0.6006,3,True,False
0.6006,1,True,True
0.6339666666666667,3,True,False
0.6339666666666667,1,True,True
0.6673333333333333,3,True,False
0.6673333333333333,1,True,True
0.7007000000000001,3,True,False
0.7340666666666668,3,True,False
0.7340666666666668,1,True,True
0.7674333333333334,3,True,False
0.8008000000000001,1,True,True
0.8341666666666667,1,True,True
1.0010000000000001,2,False,False
1.0343666666666667,2,False,False
1.0343666666666667,3,True,False
1.0677333333333334,2,False,False
1.1011,2,False,False
1.1011,3,True,False
1.1344666666666667,2,False,False
1.1344666666666667,3,True,False
1.1678333333333333,2,False,False
