timestamp,worker_id,violation
0.0,1,No Helmet
0.0,2,No Helmet
0.03336666666666667,1,No Helmet
0.03336666666666667,2,No Helmet
0.03336666666666667,2,No Vest
0.06673333333333334,1,No Helmet
0.06673333333333334,2,No Helmet
0.06673333333333334,2,No Vest
0.06673333333333334,3,No Vest
0.10010000000000001,1,No Helmet
0.10010000000000001,2,No Helmet
0.10010000000000001,2,No Vest
0.10010000000000001,3,No Vest
0.13346666666666668,1,No Helmet
0.13346666666666668,2,No Helmet
0.13346666666666668,2,No Vest
0.13346666666666668,3,No Vest
0.16683333333333333,1,No Helmet
0.16683333333333333,2,No Helmet
0.16683333333333333,2,No Vest
0.16683333333333333,3,No Vest
0.20020000000000002,1,No Helmet
0.20020000000000002,2,No Helmet
0.20020000000000002,2,No Vest
0.20020000000000002,3,No Vest
0.23356666666666667,1,No Helmet
0.23356666666666667,2,No Helmet
0.23356666666666667,2,No Vest
0.23356666666666667,3,No Vest
0.26693333333333336,2,No Helmet
0.26693333333333336,2,No Vest
0.26693333333333336,3,No Vest
0.3003,2,No Helmet
0.3003,2,No Vest
0.3003,3,No Vest
0.33366666666666667,2,No Helmet
0.33366666666666667,2,No Vest
0.33366666666666667,3,No Vest
0.3670333333333334,2,No Helmet
0.3670333333333334,2,No Vest
0.3670333333333334,3,No Vest
0.40040000000000003,2,No Helmet
0.40040000000000003,2,No Vest
0.40040000000000003,3,No Vest
0.4337666666666667,2,No Helmet
0.4337666666666667,2,No Vest
0.4337666666666667,3,No Vest
0.46713333333333334,2,No Helmet
0.46713333333333334,2,No Vest
0.46713333333333334,3,No Vest
0.5005000000000001,2,No Helmet
0.5005000000000001,2,No Vest
0.5005000000000001,3,No Vest
0.5338666666666667,2,No Helmet
0.5338666666666667,2,No Vest
0.5338666666666667,3,No Vest
0.5338666666666667,1,No Helmet
0.5672333333333334,3,No Vest
0.6006,3,No Vest
0.6339666666666667,3,No Vest
0.6673333333333333,3,No Vest
0.7007000000000001,3,No Vest
0.7340666666666668,3,No Vest
0.7674333333333334,3,No Vest
1.0010000000000001,2,No Helmet
1.0010000000000001,2,No Vest
1.0343666666666667,2,No Helmet
1.0343666666666667,2,No Vest
1.0343666666666667,3,No Vest
1.0677333333333334,2,No Helmet
1.0677333333333334,2,No Vest
1.1011,2,No Helmet
1.1011,2,No Vest
1.1011,3,No Vest
1.1344666666666667,2,No Helmet
1.1344666666666667,2,No Vest
1.1344666666666667,3,No Vest
1.1678333333333333,2,No Helmet
1.1678333333333333,2,No Vest
1.1678333333333333,3,No Vest
1.2012,3,No Vest
1.2345666666666668,3,No Vest
1.2679333333333334,3,No Vest
1.3013000000000001,3,No Vest
1.3013000000000001,1,No Helmet
1.3013000000000001,1,No Vest
1.5015,3,No Vest
1.5348666666666668,3,No Vest
1.5682333333333334,3,No Vest
1.6016000000000001,3,No Vest
1.6349666666666667,3,No Vest
1.6683333333333334,2,No Helmet
1.6683333333333334,2,No Vest
1.6683333333333334,1,No Vest
1.7017,2,No Helmet
1.7017,2,No Vest
1.7350666666666668,2,No Helmet
1.7350666666666668,2,No Vest
1.7684333333333335,2,No Helmet
1.7684333333333335,2,No Vest
1.8018000000000003,2,No Helmet
1.8018000000000003,2,No Vest
1.8018000000000003,1,No Vest
1.8351666666666668,2,No Helmet
1.8351666666666668,2,No Vest
1.8351666666666668,1,No Vest
1.8685333333333334,2,No Helmet
1.8685333333333334,2,No Vest
1.9019000000000001,2,No Helmet
1.9019000000000001,2,No Vest
2.2355666666666667,2,No Vest
2.435766666666667,2,No Helmet
2.435766666666667,2,No Vest
2.4691333333333336,2,No Helmet
2.4691333333333336,2,No Vest
2.5025,2,No Helmet
2.5025,2,No Vest
2.5358666666666667,2,No Helmet
2.635966666666667,2,No Helmet
2.635966666666667,3,No Vest
2.8028000000000004,2,No Helmet
3.003,3,No Vest
3.1698333333333335,1,No Helmet
3.1698333333333335,1,No Vest
3.1698333333333335,3,No Vest
3.236566666666667,3,No Vest
3.2699333333333334,3,No Vest
3.2699333333333334,1,No Vest
3.3033,3,No Vest
3.6036000000000006,3,No Vest
3.636966666666667,3,No Vest
3.6703333333333337,3,No Vest
3.7037,3,No Vest
3.7370666666666668,3,No Vest
3.7704333333333335,3,No Vest
3.7704333333333335,4,No Helmet
3.7704333333333335,4,No Vest
3.8038000000000003,3,No Vest
3.837166666666667,3,No Vest
3.837166666666667,4,No Helmet
3.837166666666667,4,No Vest
3.8705333333333334,3,No Vest
3.9039,3,No Vest
3.937266666666667,3,No Vest
4.0040000000000004,3,No Vest
4.037366666666667,3,No Vest
4.070733333333333,3,No Vest
4.070733333333333,2,No Helmet
4.1041,3,No Vest
4.1041,2,No Helmet
4.1041,2,No Vest
4.137466666666667,3,No Vest
4.137466666666667,2,No Helmet
4.137466666666667,2,No Vest
4.170833333333333,3,No Vest
4.170833333333333,2,No Helmet
4.170833333333333,2,No Vest
4.2042,3,No Vest
4.2042,2,No Helmet
4.2042,2,No Vest
4.237566666666667,3,No Vest
4.237566666666667,2,No Helmet
4.237566666666667,2,No Vest
4.270933333333334,3,No Vest
4.3043000000000005,3,No Vest
4.337666666666667,3,No Vest
4.371033333333333,3,No Vest
4.4044,3,No Vest
4.437766666666667,3,No Vest
4.471133333333333,3,No Vest
4.5045,3,No Vest
4.537866666666667,3,No Vest
4.571233333333334,3,No Vest
4.6046000000000005,3,No Vest
4.637966666666667,3,No Vest
4.671333333333333,3,No Vest
4.7047,3,No Vest
4.738066666666667,3,No Vest
4.771433333333333,3,No Vest
4.8048,3,No Vest
4.838166666666667,3,No Vest
4.871533333333334,3,No Vest
4.9049000000000005,3,No Vest
4.938266666666667,3,No Vest
4.971633333333334,3,No Vest
5.005,3,No Vest
5.038366666666667,3,No Vest
5.071733333333333,3,No Vest
5.1051,3,No Vest
5.138466666666667,3,No Vest
5.171833333333334,3,No Vest
5.2052000000000005,3,No Vest
5.238566666666667,3,No Vest
5.271933333333334,3,No Vest
5.3053,3,No Vest
5.338666666666667,3,No Vest
5.372033333333333,3,No Vest
5.4054,3,No Vest
5.438766666666667,3,No Vest
5.438766666666667,5,No Helmet
5.438766666666667,5,No Vest
5.472133333333334,3,No Vest
5.472133333333334,5,No Helmet
5.472133333333334,5,No Vest
5.5055000000000005,3,No Vest
5.5055000000000005,5,No Helmet
5.5055000000000005,5,No Vest
5.538866666666667,3,No Vest
5.538866666666667,5,No Helmet
5.538866666666667,5,No Vest
5.572233333333335,3,No Vest
5.572233333333335,5,No Helmet
5.572233333333335,5,No Vest
5.605600000000001,3,No Vest
5.605600000000001,5,No Helmet
5.605600000000001,5,No Vest
5.638966666666667,3,No Vest
